@relation 'processed-weka.filters.unsupervised.attribute.Remove-R1-28,56-61-weka.filters.unsupervised.attribute.Remove-R17,20-25-weka.filters.unsupervised.attribute.Remove-R3-6,14'

@attribute stress_level_bin {Low,Moderate,High}
@attribute 'daily_screen_time_hours (Normalized)' numeric
@attribute 'social_media_hours (Normalized)' numeric
@attribute 'work_related_hours (Normalized)' numeric
@attribute 'entertainment_hours (Normalized)' numeric
@attribute 'gaming_hours (Normalized)' numeric
@attribute 'sleep_duration_hours (Normalized)' numeric
@attribute 'sleep_quality (Normalized)' numeric
@attribute 'mood_rating (Normalized)' numeric
@attribute 'physical_activity_hours_per_week (Normalized)' numeric
@attribute 'mental_health_score (Normalized)' numeric
@attribute 'weekly_anxiety_score (Normalized)' numeric
@attribute 'mindfulness_minutes_per_day (Normalized)' numeric
@attribute 'uses_wellness_apps (Encoded)' numeric
@attribute 'eats_healthy (Encoded)' numeric

@data
Low,0.644444,0.47619,0.605263,0.589744,0.578947,0.472222,0.75,0.511111,0.372881,0.695652,0.333333,0.243243,1,1
Moderate,0.344444,0.595238,0.736842,0.512821,0.421053,0.388889,0.75,0.555556,0.347458,0.57971,0.333333,0.283784,1,1
Moderate,0.411111,0.809524,0.763158,0.25641,0.236842,0.166667,0.75,0.366667,0.118644,0.521739,0.52381,0.391892,1,1
High,0.555556,1,0.868421,0.205128,0.078947,0.527778,0.75,0.033333,0,0.347826,0.809524,0.240541,1,1
Moderate,0.633333,0.833333,0.736842,0.307692,0.526316,0.444444,0.75,0.288889,0.237288,0.449275,0.238095,0.586486,0,0
High,0.844444,1,0.815789,0.25641,0.184211,0.166667,0.5,0.022222,0.118644,0.289855,0.666667,0.113514,0,0
Moderate,0.544444,0.833333,0.842105,0.487179,0.315789,0.333333,0.75,0.233333,0.161017,0.449275,0.333333,0.443243,0,1
High,0.7,1,0.815789,0.307692,0.236842,0.416667,0.75,0.044444,0,0.202899,1,0.22973,1,1
Low,0.355556,0,0.105263,0.589744,0.684211,0.5,0.75,0.9,0.432203,0.666667,0.095238,0.394595,0,1
Moderate,0.511111,0.547619,0.657895,0.410256,0.368421,0.722222,0.75,0.744444,0.305085,0.681159,0.52381,0.443243,1,0
High,0.788889,1,0.842105,0.358974,0.263158,0.638889,0.5,0,0,0.26087,0.52381,0.251351,1,0
High,0.577778,1,0.921053,0.205128,0.5,0.361111,0.5,0,0,0.202899,0.666667,0.118919,1,0
Moderate,0.288889,0.714286,0.842105,0.410256,0.447368,0.805556,1,0.466667,0.5,0.521739,0.238095,0.462162,1,0
Low,0,0.5,0.578947,0.615385,0.421053,0.916667,1,0.733333,0.415254,0.753623,0.190476,0.478378,1,0
High,0.688889,0.857143,0.894737,0.487179,0.236842,0.527778,0.5,0.4,0,0.376812,0.285714,0.324324,0,1
Low,0.377778,0.47619,0.605263,0.461538,0.421053,0.444444,0.75,0.833333,0.347458,0.623188,0.190476,0.797297,1,0
High,0.3,1,0.868421,0.589744,0.131579,0.611111,0.75,0,0,0.144928,0.809524,0.048649,0,0
Moderate,0.533333,0.833333,0.815789,0.487179,0.421053,0.222222,0.75,0.3,0.389831,0.391304,0.428571,0.216216,1,1
High,0.244444,1,0.894737,0.282051,0.263158,0.527778,0.75,0,0,0.173913,0.857143,0.132432,0,0
High,0.733333,1,0.815789,0.435897,0.421053,0.472222,0.5,0,0.008475,0.173913,0.428571,0.105405,0,0
Low,0.133333,0.380952,0.578947,0.564103,0.447368,0.694444,0.75,0.666667,0.20339,0.652174,0.238095,0.548649,0,1
High,0.477778,1,0.921053,0.205128,0.421053,0.472222,0.5,0.1,0,0.26087,0.952381,0.040541,0,1
High,0.455556,1,0.815789,0.333333,0.263158,0.555556,0.75,0,0,0.42029,0.52381,0.340541,0,0
Low,0.255556,0.452381,0.578947,0.410256,0.552632,0.472222,0.75,0.8,0.381356,0.57971,0.285714,0.57027,1,1
Moderate,0.366667,0.761905,0.736842,0.282051,0.421053,0.777778,0.75,0.311111,0,0.391304,0.333333,0.302703,0,1
Low,0.333333,0.238095,0.447368,0.717949,0.657895,0.777778,0.75,0.855556,0.364407,0.695652,0.238095,0.740541,0,1
High,0.822222,0.904762,0.763158,0.589744,0.315789,0.5,0.5,0.2,0.245763,0.434783,0.761905,0.443243,1,0
Low,0.088889,0.214286,0.236842,0.564103,0.789474,0.611111,0.75,0.944444,0.449153,0.826087,0,0.981081,1,1
High,0.444444,0.904762,0.868421,0.384615,0.026316,0.444444,1,0.133333,0.033898,0.521739,0.809524,0.472973,0,1
High,0.955556,1,0.789474,0.205128,0.368421,0.5,0.5,0,0,0.376812,0.714286,0.259459,0,0
High,0.544444,1,0.868421,0.487179,0.236842,0.555556,1,0.055556,0.033898,0.289855,0.761905,0.259459,0,0
Low,0.244444,0.428571,0.578947,0.564103,0.421053,0.472222,1,0.8,0.211864,0.652174,0.428571,0.281081,0,0
Low,0,0.47619,0.631579,0.615385,0.473684,0.833333,1,0.711111,0.432203,0.637681,0.095238,0.2,1,1
Low,0.222222,0.452381,0.578947,0.692308,0.473684,0.555556,1,0.822222,0.29661,0.73913,0.095238,0.481081,0,1
High,0.688889,0.904762,0.947368,0.358974,0.447368,0.333333,0.75,0.111111,0.194915,0.391304,0.52381,0.383784,0,0
High,0.644444,1,0.973684,0.461538,0.184211,0.611111,0.75,0.2,0,0.333333,0.52381,0.178378,1,0
High,0.211111,0.952381,0.815789,0.461538,0.342105,0.527778,1,0.188889,0.076271,0.449275,0.428571,0.386486,0,0
Low,0.133333,0.02381,0.131579,0.692308,0.763158,0.666667,1,1,0.491525,0.768116,0.142857,0.427027,0,1
Low,0.3,0.285714,0.473684,0.589744,0.605263,0.777778,1,0.622222,0.440678,0.84058,0.238095,0.567568,1,0
High,0.511111,1,0.815789,0.512821,0.210526,0.694444,1,0.133333,0.169492,0.347826,0.380952,0.232432,0,0
Moderate,0.277778,0.571429,0.684211,0.435897,0.447368,0.638889,0.75,0.5,0.466102,0.695652,0.285714,0.581081,0,1
Moderate,0.433333,0.785714,0.684211,0.410256,0.289474,0.388889,0.75,0.333333,0.211864,0.492754,0.238095,0.491892,0,0
High,0.9,1,0.789474,0.333333,0.210526,0.361111,0.75,0.033333,0.084746,0.115942,0.761905,0.118919,0,1
High,1,1,0.894737,0.025641,0.394737,0.694444,0.25,0,0.067797,0.202899,0.619048,0.054054,0,1
Moderate,0.7,0.571429,0.710526,0.333333,0.631579,0.611111,0.5,0.488889,0.389831,0.608696,0.47619,0.608108,0,0
High,0.4,0.97619,0.815789,0.358974,0.263158,0.527778,0.75,0.088889,0.118644,0.463768,0.714286,0.302703,1,1
Moderate,0.466667,0.547619,0.736842,0.384615,0.315789,0.361111,0.75,0.5,0.516949,0.768116,0.190476,0.205405,1,0
High,0.577778,0.97619,0.736842,0.384615,0.394737,0.25,0.75,0.155556,0.220339,0.42029,0.428571,0.232432,0,1
Low,0.366667,0.428571,0.578947,0.564103,0.605263,0.75,0.75,0.644444,0.254237,0.478261,0,0.572973,0,1
Moderate,0.233333,0.809524,0.815789,0.358974,0.421053,0.777778,1,0.277778,0.288136,0.550725,0.47619,0.551351,1,1
Low,0.344444,0.333333,0.368421,0.641026,0.605263,0.583333,0.75,0.888889,0.372881,0.652174,0.238095,0.767568,0,0
Moderate,0.266667,0.619048,0.736842,0.615385,0.552632,0.527778,1,0.544444,0.245763,0.594203,0.428571,0.197297,0,0
Moderate,0.644444,0.595238,0.763158,0.410256,0.421053,0.638889,0.75,0.611111,0.381356,0.507246,0.380952,0.675676,1,1
High,0.7,1,0.868421,0.102564,0.210526,0.25,0.75,0,0,0.217391,0.714286,0.091892,1,0
High,0.522222,1,0.815789,0.282051,0.157895,0.805556,1,0,0,0.246377,0.857143,0.243243,0,0
Low,0.177778,0.119048,0.105263,0.692308,0.710526,0.75,1,0.844444,0.644068,0.84058,0.047619,0.532432,1,0
High,0.511111,0.904762,0.842105,0.74359,0.473684,0.361111,0.75,0.366667,0.144068,0.42029,0.47619,0.456757,0,0
Moderate,0.888889,0.666667,0.736842,0.333333,0.447368,0.527778,0.5,0.522222,0.415254,0.463768,0.380952,0.267568,1,0
Moderate,0.277778,0.547619,0.710526,0.487179,0.368421,0.5,0.75,0.333333,0.186441,0.434783,0.380952,0.445946,0,1
Moderate,0.455556,0.809524,0.868421,0.410256,0.289474,0.361111,0.5,0.388889,0.177966,0.318841,0.285714,0.394595,1,0
Low,0.288889,0.190476,0.184211,0.769231,0.868421,0.722222,1,1,0.313559,0.637681,0.142857,0.618919,1,0
High,0.444444,0.761905,0.815789,0.384615,0.342105,0.416667,1,0.288889,0.110169,0.449275,0.380952,0.267568,0,1
Low,0.044444,0.166667,0.184211,0.820513,0.763158,0.5,1,0.766667,0.686441,0.869565,0.190476,0.354054,1,1
High,0.5,1,0.868421,0.179487,0.263158,0.611111,0.75,0,0.169492,0.318841,0.666667,0.240541,0,1
Moderate,0.188889,0.5,0.736842,0.717949,0.368421,0.611111,0.75,0.611111,0.135593,0.434783,0.285714,0.464865,0,0
Low,0.533333,0.309524,0.447368,0.538462,0.868421,0.666667,0.75,0.688889,0.338983,0.623188,0.380952,0.802703,0,0
Moderate,0.588889,0.761905,0.921053,0.307692,0.263158,0.472222,0.5,0.355556,0.389831,0.434783,0.47619,0.356757,0,1
Low,0.133333,0.285714,0.447368,0.461538,0.789474,0.583333,1,0.922222,0.254237,0.695652,0.285714,0.564865,0,0
Low,0.144444,0.452381,0.657895,0.794872,0.552632,0.361111,0.75,0.722222,0.618644,0.724638,0.142857,0.240541,0,0
High,0.488889,1,0.789474,0.384615,0.131579,0.611111,0.75,0,0.084746,0.362319,0.52381,0.040541,1,0
High,0.533333,0.97619,0.894737,0.512821,0.315789,0.527778,0.75,0.277778,0.110169,0.347826,0.571429,0.227027,0,0
High,0.811111,1,0.842105,0.282051,0.473684,0.583333,0.75,0,0,0.507246,0.571429,0.048649,0,0
Low,0.322222,0.404762,0.631579,0.487179,0.526316,0.694444,0.75,0.7,0.254237,0.681159,0.380952,0.518919,0,0
High,0.811111,0.904762,0.842105,0.589744,0.236842,0.5,0.5,0.044444,0.169492,0.347826,0.47619,0.191892,0,1
Moderate,0.422222,0.809524,0.631579,0.461538,0.315789,0.444444,1,0.2,0.067797,0.42029,0.47619,0.421622,0,0
Moderate,0.5,0.690476,0.868421,0.641026,0.236842,0.472222,0.75,0.366667,0.338983,0.594203,0.571429,0.343243,0,0
Low,0.655556,0.261905,0.368421,0.897436,0.578947,0.555556,0.5,0.844444,0.415254,0.637681,0.238095,0.440541,1,1
High,0.522222,0.857143,0.763158,0.461538,0.421053,0.527778,0.75,0.266667,0.322034,0.405797,0.52381,0.5,0,1
Low,0.188889,0.142857,0.131579,0.794872,0.684211,0.833333,0.75,0.866667,0.508475,0.73913,0.142857,0.675676,1,1
Moderate,0.277778,0.5,0.657895,0.230769,0.315789,0.777778,0.75,0.666667,0.237288,0.57971,0.285714,0.232432,0,0
Low,0.322222,0.309524,0.394737,0.692308,0.605263,0.555556,1,0.777778,0.29661,0.724638,0.047619,0.8,1,1
High,0.8,1,0.868421,0.153846,0.289474,0.444444,0.5,0,0,0.072464,0.857143,0.232432,0,1
High,0.522222,0.952381,0.868421,0.410256,0.263158,0.388889,0.75,0.255556,0.245763,0.347826,0.619048,0.405405,0,1
High,0.511111,1,0.842105,0.205128,0.447368,0.5,0.5,0,0.067797,0.318841,0.857143,0.002703,1,1
Moderate,0.344444,0.547619,0.710526,0.435897,0.710526,0.694444,0.75,0.477778,0.262712,0.73913,0.380952,0.613514,0,1
High,0.477778,1,0.842105,0.487179,0.315789,0.472222,0.5,0,0,0.26087,0.857143,0.275676,0,0
High,0.177778,0.904762,0.815789,0.435897,0.421053,0.583333,0.75,0.222222,0.076271,0.405797,0.571429,0.159459,1,0
Moderate,0.5,0.880952,0.842105,0.282051,0.342105,0.361111,1,0.488889,0.084746,0.463768,0.380952,0.345946,0,0
Low,0.5,0.214286,0.526316,0.666667,0.447368,0.444444,1,0.822222,0.347458,0.811594,0.047619,0.516216,0,1
Moderate,0.555556,0.880952,0.842105,0.358974,0.105263,0.611111,0.75,0.377778,0.40678,0.478261,0.238095,0.162162,0,0
Low,0.455556,0.452381,0.736842,0.641026,0.5,0.5,0.75,0.777778,0.415254,0.73913,0.238095,0.827027,1,1
Low,0.388889,0.452381,0.447368,0.487179,0.447368,0.388889,0.75,0.844444,0.313559,0.724638,0.142857,0.667568,1,0
High,0.5,0.857143,0.815789,0.487179,0.184211,0.555556,0.75,0.277778,0.084746,0.478261,0.428571,0.132432,0,0
High,0.8,1,0.815789,0.25641,0.131579,0.444444,0.5,0,0,0.202899,0.809524,0.151351,0,0
High,0.577778,1,0.921053,0.461538,0.473684,0.666667,1,0.111111,0.194915,0.434783,0.666667,0.251351,1,1
High,0.755556,1,0.894737,0.205128,0.473684,0.416667,0.5,0.044444,0,0.362319,0.666667,0.186486,0,0
Low,0.288889,0.428571,0.605263,0.487179,0.605263,0.472222,0.75,0.777778,0.211864,0.652174,0.238095,0.513514,0,1
High,0.488889,1,0.894737,0.461538,0.184211,0.666667,0.75,0.055556,0,0.202899,0.238095,0.067568,1,0
High,0.655556,0.904762,0.921053,0.358974,0.342105,0.361111,0.5,0.222222,0.567797,0.492754,0.380952,0.364865,1,1
High,0.555556,0.785714,0.789474,0.512821,0.315789,0.333333,0.5,0.155556,0.398305,0.391304,0.666667,0.448649,1,1
Low,0.333333,0.357143,0.394737,0.641026,0.710526,0.444444,1,0.855556,0.432203,0.768116,0.238095,0.775676,1,0
High,0.411111,0.952381,0.815789,0.564103,0.236842,0.472222,0.75,0.211111,0.169492,0.434783,0.714286,0.175676,0,1
Low,0.511111,0.261905,0.447368,0.512821,0.473684,0.277778,1,0.822222,0.491525,0.681159,0.095238,0.475676,0,0
Low,0.644444,0.428571,0.631579,0.692308,0.526316,0.25,0.75,0.444444,0.29661,0.681159,0.190476,0.697297,1,0
High,0.422222,1,0.868421,0.307692,0.263158,0.666667,0.75,0,0.016949,0.289855,0.714286,0.237838,0,0
Moderate,0.611111,0.785714,0.789474,0.384615,0.394737,0.472222,1,0.533333,0.29661,0.565217,0.380952,0.554054,0,1
Low,0.177778,0.285714,0.473684,0.641026,0.526316,0.611111,1,0.688889,0.322034,0.695652,0.190476,0.794595,0,0
Moderate,0.855556,0.833333,0.842105,0.461538,0.289474,0.388889,0.75,0.222222,0.364407,0.507246,0.428571,0.556757,1,1
Low,0.255556,0.190476,0.131579,0.461538,0.763158,0.694444,0.75,0.788889,0.516949,0.782609,0,0.335135,0,1
Low,0,0.166667,0.184211,0.641026,0.710526,0.583333,1,0.911111,0.516949,0.84058,0.047619,0.4,1,1
Moderate,0.355556,0.714286,0.763158,0.205128,0.447368,0.638889,1,0.388889,0.194915,0.536232,0.142857,0.659459,0,1
High,0.744444,1,0.868421,0.205128,0.131579,0.472222,0.75,0,0.101695,0.304348,0.666667,0.243243,0,1
High,0.666667,1,0.973684,0.205128,0.394737,0.333333,0.5,0,0.016949,0.289855,0.857143,0.145946,0,1
Low,0.322222,0.5,0.552632,0.615385,0.447368,0.666667,1,0.744444,0.711864,0.855072,0.047619,0.581081,0,1
Low,0.022222,0.119048,0.157895,0.794872,0.763158,0.694444,1,0.844444,0.423729,0.710145,0,0.375676,0,1
Moderate,0.688889,0.785714,0.815789,0.358974,0.342105,0.333333,0.75,0.3,0.237288,0.42029,0.380952,0.245946,0,1
High,0.433333,1,0.921053,0.230769,0.157895,0.416667,0.75,0.022222,0,0.246377,0.619048,0.197297,0,1
Low,0.288889,0.190476,0.289474,0.666667,0.605263,0.666667,1,0.933333,0.330508,0.724638,0.047619,0.494595,1,0
Moderate,0.344444,0.642857,0.763158,0.25641,0.394737,0.722222,0.75,0.755556,0.161017,0.608696,0.380952,0.616216,0,0
Moderate,0.666667,0.690476,0.789474,0.179487,0.421053,0.527778,0.75,0.511111,0.169492,0.376812,0.428571,0.648649,0,0
High,0.6,1,0.894737,0.153846,0.394737,0.638889,0.5,0,0.008475,0.15942,0.428571,0.2,0,1
Low,0.411111,0.428571,0.578947,0.358974,0.631579,0.722222,1,0.777778,0.364407,0.608696,0.285714,0.751351,0,1
High,0.533333,1,0.894737,0.102564,0.342105,0.5,0.75,0,0,0.246377,0.809524,0.186486,0,0
Low,0.2,0.142857,0.210526,0.717949,0.789474,0.638889,1,0.866667,0.338983,0.826087,0.047619,0.310811,0,1
High,0.722222,1,0.947368,0.25641,0.236842,0.555556,0.5,0,0.110169,0.217391,0.571429,0.202703,0,0
High,0.933333,1,0.842105,0.410256,0.184211,0.222222,0.5,0.055556,0.127119,0.362319,0.857143,0.154054,1,0
